Contributor,Date,Net Amount,Gross Amount
Employer payments,04/05/2016,711.46,711.46
Employer payments,04/04/2016,711.46,711.46
Employer payments,02/03/2016,711.46,711.46
Transfer payments,18/02/2016,"6,322.17","6,322.17"
Employer payments,02/02/2016,711.46,711.46
Employer payments,05/01/2016,711.46,711.46
Employer payments,02/12/2015,711.46,711.46
Employer payments,03/11/2015,711.46,711.46
Employer payments,02/10/2015,711.46,711.46
Employer payments,02/09/2015,623.47,623.47
Employer payments,04/08/2015,623.47,623.47
Employer payments,02/07/2015,623.47,623.47
Employer payments,02/06/2015,623.47,623.47
Employer payments,05/05/2015,623.47,623.47
Employer payments,02/04/2015,623.47,623.47
Employer payments,03/03/2015,623.47,623.47
Employer payments,03/02/2015,623.47,623.47
Employer payments,05/01/2015,623.47,623.47
Employer payments,02/12/2014,124.28,124.28
Employer payments,04/11/2014,124.28,124.28
Employer payments,02/10/2014,124.28,124.28
Employer payments,02/09/2014,109.03,109.03
Employer payments,04/08/2014,109.03,109.03
Employer payments,02/07/2014,109.03,109.03
Employer payments,03/06/2014,109.03,109.03
Employer payments,02/05/2014,109.03,109.03
Employer payments,02/04/2014,109.03,109.03
Employer payments,04/03/2014,109.03,109.03
Employer payments,04/02/2014,109.03,109.03
Employer payments,03/01/2014,109.03,109.03
Employer payments,03/12/2013,109.03,109.03
Employer payments,04/11/2013,109.03,109.03
Employer payments,02/10/2013,109.03,109.03
Employer payments,03/09/2013,101.41,101.41
Employer payments,02/08/2013,101.41,101.41
Employer payments,02/07/2013,101.41,101.41
